"Avance","nr2"
"Ay Arriba","rb1"
"Azule Serape","jlt"
"Azure","agz"
"B-Sting","nr3"
"B Minor Waltz","ebk"
"Ba-Lue Bolivar Ba-Lues-Are","rb2"
"Baby, Wont You Please Come Home","jfk"
"Baby","agz"
"Baby","jfk"
"Baby Breeze","jlt"
"Baby Brown","agz"
"Baby Come To Me","nr3"
"Baby Doll","blu"
"Baby Face","agz"
"Baby Face","tbk"
"Baby I Love You","nr1"
"Baby Its Cold Outside","nr2"
"Baby Steps","col"
"Baby What You Want Me To Do","blu"
"Baby Its Cold Outside","agz"
"Baby Wont You Please Come Home","agz"
"Bacchanal","lrb"
"Back Door Man","blu"
"Back Home Blues","lib"
"Back Home In Indiana","tbk"
"Back Talk","lib"
"Back Bay Shuffle","agz"
"Back Home In Indiana","agz"
"Back Water Blues","agz"
"Background Music","jlt"
"Backstage Sally","rb2"
"Backstage Sally","nr3"
"Backwater Blues","blu"
"Bags And Trane","rb2"
"Bags Groove","agz"
"Bags Groove","col"
"Bags Groove","jfk"
"Bags Groove","lib"
"Bags Groove","rb2"
"Bags Groove","srb"
"Bags New Groove","jfk"
"Bahia","lrb"
"Bailando Asi","lrb"
"Baja Bajo","hlr"
"Baja Bajo","nr2"
"Bakai","jlt"
"Ballad (A)","jfk"
"Ballad (A)","jlt"
"Ballad (A)","lib"
"Ballad For Anita","rb3"
"Ballad For Doll (A)","nr3"
"Ballad For Trane","rb3"
"Ballad For Two Musicians","nr3"
"Ballet","rb1"
"Ballin The Jack","jfk"
"Ballin The Jack","agz"
"Baltimore ","agz"
"Baltimore Oriole","srb"
"Band Aid","jlt"
"Band Aid","lib"
"Barbados","agz"
"Barbados","jfk"
"Barbados","rb2"
"Barbados","lib"
"Barbara","rb2"
"Bark For Barksdale","hlr"
"Bark For Barksdale","lib"
"Bark For Barsdale","jlt"
"Bashana","tbk"
"Basie Eyes","lib"
"Basin Street Blues","agz"
"Basin Street Blues","col"
"Basin Street Blues","jfk"
"Basin Street Blues","nr1"
"Basin Street Blues","rb2"
"Basin Street Blues","tbk"
"Bass Blues","nr2"
"Bass Desires","hlr"
"Basta De Clamares Inocencia","lrb"
"Batter Up","jlt"
"Batter Up","lib"
"Batterie","rb1"
"Battle Hymn Of The Republic","agz"
"Baubles Bangles  Beads","col"
"Baubles Bangles And Beads","agz"
"Be-Bop","jfk"
"Be Bop","agz"
"Be Bop","rb2"
"Be My Love","rb3"
"Be My Love","agz"
"Beach-Wise","lib"
"Beach Wise","jlt"
"Beach At Bali Bali (on The)","agz"
"Beakshire Blues","tob"
"Beale Street Blues","agz"
"Beale Street Mama","agz"
"Beas Flat","jlt"
"Beas Flat","lib"
"Beatrice","col"
"Beatrice","jlt"
"Beau Koo Jack","agz"
"Beautiful Friendship","rb3"
"Beautiful Friendship (A)","jfk"
"Beautiful Friendship (A)","srb"
"Beautiful Love","agz"
"Beautiful Love","hlr"
"Beautiful Love","nr1"
"Beautiful Love","rb1"
"Beauty And The Beast","nr2"
"Beauty And The Blast","rb1"
"Bebop","tob"
"Because Of You","agz"
"Beer Barrel Polka","tbk"
"Beethovens Blue 3rd","rb2"
"Before And After","lib"
"Before You Go","hlr"
"Begin The Beguine","srb"
"Begin The Beguine","agz"
"Behind Closed Doors","blu"
"Bei Mir Bist Du Schoen","agz"
"Believe It Or Not","tbk"
"Believe It Beloved","agz"
"Below Zero","col"
"Bemba Colora","lrb"
"Bemsha Swing","agz"
"Bemsha Swing","jlt"
"Beneath It All","rb1"
"Berkshire Blues","jlt"
"Bernies Tune","agz"
"Bernies Tune","col"
"Bernies Tune","jfk"
"Bernies Tune","lib"
"Bernies Tune","nr1"
"Berries Tune","rb3"
"Besame","lrb"
"Besame Mucho","agz"
"Besame Mucho","col"
"Besame Mucho (Kiss Me Much)","hlr"
"Besame Mucho","lrb"
"Beside Myself","rb3"
"Besie Couldnt Help It","agz"
"Bess You Is My Woman","jfk"
"Bess You Is My Woman","srb"
"Bess You Is My Woman Now","rb3"
"Bessies Blues","col"
"Bessies Blues","hlr"
"Bessies Blues","nr2"
"Bessies Blues","rb1"
"Best Is Yet To Come (The)","jfk"
"Best Is Yet To Come (The)","srb"
"Best Is Yet To Come (The)","tbk"
"Best That You Can Do","tbk"
"Best Thing For You (The)","hlr"
"Best Thing For You Is Me","rb3"
"Best Things In Life Are Free","tbk"
"Best Things In Life Are Free (The)","jfk"
"Best Things In Life Are Free","agz"
"Better Git It In Your Soul","rb2"
"Better Git It In Your Soul","rb3"
"Better Luck Next Time","hlr"
"Between The Devil And The Deep Blue Sea","hlr"
"Between The Devil And The Deep Blue Sea","agz"
"Bewitched","agz"
"Bewitched","jfk"
"Bewitched","rb1"
"Bewitched","srb"
"Beyond All Limits","rb2"
"Beyond The Bluebird","rb3"
"Beyond The Reef","tbk"
"Beyond The Blue Horizon","agz"
"Bid For(A)","jlt"
"Bidin My Time","srb"
"Big Alice","tob"
"Big Bear","jlt"
"Big Ben","jlt"
"Big Bertha","jlt"
"Big Nick","hlr"
"Big Nick","rb1"
"Big P","jfk"
"Big P","rb2"
"Big Push","jlt"
"Big Spender","blu"
"Big Butter And Egg Man","agz"
"Big Noise From Winnetka","agz"
"Bijou","hlr"
"Bill","hlr"
"Bill Bailey","agz"
"Bill Bailey","jfk"
"Bill Bailey","tbk"
"Billie Boy","agz"
"Billies Bounce","agz"
"Billies Bounce","col"
"Billies Bounce","jfk"
"Billies Bounce","rb2"
"Billies Bounce","lib"
"Bills Belli","ebk"
"Bills Hit Tune","rb2"
"Bills Hit Tune","ebk"
"Bilongo","lrb"
"Bimini","lib"
"Bioin My Time","agz"
"Bird Calls","jlt"
"Bird Feathers","agz"
"Bird Feathers","jfk"
"Bird Feathers","lib"
"Bird Food","nr1"
"Bird Of Beauty","nr3"
"Birdland","jfk"
"Birdland","rb2"
"Birdland","tob"
"Birds Mother","jlt"
"Birds Of A Feather","jfk"
"Birks Works","agz"
"Birks Works","col"
"Birks Works","rb2"
"Birks Works (What Did I Do To Be So)","hlr"
"Birth Of The Blues","rb2"
"Birth Of The Blues (The)","blu"
"Birth Of The Blues","agz"
"Bisquit Mix","lib"
"Bitter Suite In The Ozone","rb1"
"Black","jlt"
"Black And Blue","hlr"
"Black And Blue","nr2"
"Black And Tan Fantasy","hlr"
"Black And Tan Fantasy","rb2"
"Black Bats And Poles","jlt"
"Black Beauty","agz"
"Black Bottom","agz"
"Black Bottom Stomp","agz"
"Black Coffee","agz"
"Black Coffee","blu"
"Black Coffee","hlr"
"Black Coffee","nr2"
"Black Diamond","rb1"
"Black Eyes","jlt"
"Black Ice","nr1"
"Black Market","hlr"
"Black Monday","rb1"
"Black Narcissus","nr1"
"Black Narcissus","rb1"
"Black Nile","nr3"
"Black Nile","rb1"
"Black Orpheus","agz"
"Black Orpheus","hlr"
"Black Orpheus","rb1"
"Black Snake Blues","agz"
"Black And Blue","agz"
"Black And Tan Fantasy","agz"
"Blackberry Winter","hlr"
"Blackberry Winter","srb"
"Blame It On My Youth","hlr"
"Blame It On My Youth","nr1"
"Blame It On The Blues","agz"
"Blessed Relief","rb1"
"Blessing (The)","jfk"
"Blizzard Of Lies","nr1"
"Bloomdido","jfk"
"Bloomdido","lib"
"Bloomdido","rb2"
"Blossom Fell (A)","hlr"
"Blue (and Broken Hearted)","agz"
"Blue A La Mode","rb2"
"Blue Again","agz"
"Blue And Sentimental","jfk"
"Blue And Sentimental","rb2"
"Blue And Sentimental","srb"
"Blue And Sentimental","tob"
"Blue Bossa","col"
"Blue Bossa","nr1"
"Blue Bossa","rb1"
"Blue Champagne)","jfk"
"Blue Champagne","agz"
"Blue Comedy","rb1"
"Blue Concept","jlt"
"Blue Daniel","nr1"
"Blue Daniel","rb3"
"Blue Fable","jlt"
"Blue Flame","hlr"
"Blue Gardenia","srb"
"Blue Hawk","jlt"
"Blue Haze","blu"
"Blue Haze","jfk"
"Blue Haze","lib"
"Blue In Green","ebk"
"Blue In Green","jfk"
"Blue In Green","rb1"
"Blue Lace","jlt"
"Blue Lou","agz"
"Blue Monk","agz"
"Blue Monk","blu"
"Blue Monk","col"
"Blue Monk","rb1"
"Blue Moon","agz"
"Blue Moon","rb2"
"Blue Moon","nr3"
"Blue N Boogie","jfk"
"Blue Orchids","agz"
"Blue Prelude","agz"
"Blue Prelude","hlr"
"Blue River","agz"
"Blue Room","agz"
"Blue Room","rb1"
"Blue Room (The)","hlr"
"Blue Room (The)","srb"
"Blue Samba","jlt"
"Blue Seven","lib"
"Blue Seven","rb2"
"Blue Silver","col"
"Blue Silver","rb2"
"Blue Skies","agz"
"Blue Skies","jlt"
"Blue Spirits","nr3"
"Blue Star","hlr"
"Blue Train","rb1"
"Blue Train (Blue Trane)","hlr"
"Blue Train Blues","blu"
"Blue Trane","col"
"Blue Tuesday","nr3"
"Blue And Sentimental","agz"
"Blue Because Of You","agz"
"Blue Interlude","agz"
"Blue Turning Grey Over You","agz"
"Blueberry Hill","jfk"
"Blueberry Hill","agz"
"Bluebird","lib"
"Bluebird","rb3"
"BluenBoogie","agz"
"Bluen Boogie","jfk"
"Blueport","hlr"
"Blues Aint Nothing","blu"
"Blues And Booze","blu"
"Blues Around My Bed","blu"
"Blues Backstage","rb3"
"Blues By Five","lib"
"Blues By Five","rb2"
"Blues Connotation","nr1"
"Blues Connotation","rb2"
"Blues For Alice","hlr"
"Blues For Alice","nr2"
"Blues For Alice","rb1"
"Blues For Alice","lib"
"Blues For D.P.","hlr"
"Blues For Jan","col"
"Blues For Junior (Pyramid)","hlr"
"Blues For LJ","col"
"Blues For Pablo","jfk"
"Blues For Philly Joe","rb2"
"Blues For Rosalinda","hlr"
"Blues For Willie","col"
